state,Moisture,Vol,Ash,Hydrogen,Carbon,Nitrogen,Oxygen,Total Sulfur,Sulfate S,Pyr S,Org S,Hocbtu
Alabama,1.8,40.7,8.3,5.4,73.8,1.7,7.3,3.5,0.01,2.84,0.69,13537
Alabama,3.1,39.3,6.2,5.5,74.7,1.9,8.1,3.5,0.01,2.61,0.92,13563
Alabama,2.5,35.5,14.8,5.1,66.5,1.7,8.5,3.5,0.21,2.88,0.43,12336
Alabama,3.1,36.7,13,5.1,67.1,1.6,9.8,3.5,0.03,2.78,0.67,12324
Alabama,2.3,32.58,6.88,5.16,76.76,1.88,5.89,3.43,0.09,2,1.34,13836
Alabama,2.41,31.86,9.13,4.95,71.97,1.63,8.9,3.42,0.85,1.49,1.08,12837
Alabama,1.8,31,22.2,4.6,62.2,1.5,6.1,3.4,0.01,3.11,0.31,11431
Alabama,2.1,34.54,10.81,5.13,72.24,1.29,7.13,3.4,0.17,2.98,0.25,13142
Alabama,2.8,36.6,12.2,5.4,70.1,1.7,7.2,3.4,0.01,2.81,0.63,12525
Alabama,3.1,29.2,23.8,4.7,59.2,1.3,7.6,3.4,0.14,2.79,0.48,10588
Alabama,3.4,38.7,12.1,5.4,68.6,1.6,8.9,3.4,0.01,2.54,0.87,12545
Alabama,2.9,34.7,14.3,5,66.8,1.6,9,3.4,0.11,2.56,0.7,12219
Alabama,2.19,36.38,7.93,5.11,72.73,1.29,9.56,3.38,0.94,0.99,1.45,13076
Alabama,1.95,37.38,13.33,5.09,68.49,1.64,8.09,3.36,0.06,2.24,1.06,12402
Alabama,1.83,33.64,11.4,5.12,73.18,1.32,5.63,3.35,0.1,2.2,1.05,13298
Alabama,3.64,27.37,18.13,4.64,65.06,1.39,7.45,3.33,0.27,1.91,1.15,11615
Alabama,2.2,32,18.9,4.6,65.8,1.5,5.9,3.3,0.01,2.81,0.47,11890
Alabama,1.5,36,10.8,5.3,73,1.3,6.4,3.3,0.02,1.81,1.43,13256
Alabama,2,38.3,7.5,5.3,75.8,1.8,6.4,3.3,0.01,2.83,0.41,13679
Alabama,2,39.8,8.6,5.8,73,1.7,7.7,3.3,0.01,2.64,0.64,13325
Alabama,2.9,37.8,12.3,5.2,69.3,1.8,8,3.3,0.02,2.24,1.05,12487
Alabama,36.5,26.9,16.5,6.3,30.2,0.7,43,3.3,1,0.4,1.85,5020
Alabama,1.95,35.33,18.13,4.83,64.77,1.59,7.39,3.29,0.05,2.26,0.98,11751
Alabama,2.67,38.28,6.66,5.32,74.5,1.89,8.42,3.21,0.1,2,1.11,13589
Alabama,1.32,28.49,22.93,4.19,63.87,1.23,4.58,3.2,0.13,2.22,0.85,11514
Alabama,1.6,32.9,26.9,4.7,58.6,1.3,5.3,3.2,0.01,2.76,0.46,10737
Alabama,1.8,30.1,21.9,4.3,63.4,1.4,5.7,3.2,0.01,3.05,0.1,11463
Alabama,1.5,35.1,15.9,4.9,68.3,1.6,6.2,3.2,0.03,1.54,1.62,12444
Alabama,1.5,34.1,17.6,5.1,65.9,1.6,6.7,3.2,0.01,2.57,0.57,11983
Alabama,2.1,37.4,10.9,5.3,72.1,1.7,6.8,3.2,0.01,2.8,0.37,13098
Alabama,1.5,35.5,12.4,5.1,71,1.3,7,3.2,0.07,2.25,0.84,12876
Alabama,1.8,34.5,14.4,5,68.7,1.6,7.1,3.2,0.01,2.08,1.12,12531
Alabama,2.7,34.5,20.8,4.7,62.6,1.4,7.3,3.2,0.01,2.64,0.56,11318
Alabama,2.3,30.3,31,4.7,52.1,1.2,7.9,3.2,0.02,2.27,0.86,9495
Alabama,1.6,37.9,8.9,5.2,73.2,1.4,8.1,3.2,0.01,1.19,1.99,13321
Alabama,1.61,38.89,9.02,5.34,74.03,1.63,6.84,3.14,0.09,1.95,1.1,13375
Alabama,3.49,34.65,19.47,4.95,62.81,1.36,8.3,3.11,0.12,1.65,1.34,11440
Alabama,0.9,30,12.6,5,73.4,1.3,4.6,3.1,0.09,2.11,0.9,13260
Alabama,1.5,31.1,22.9,4.4,62.6,1.4,5.6,3.1,0.01,2.6,0.46,11145
Alabama,1.6,32.2,18.2,4.9,66.6,1.7,5.6,3.1,0.05,2.28,0.76,12098
Alabama,2,34.9,13.1,5.2,71,1.6,6,3.1,0.01,2.65,0.45,12663
Alabama,1.8,31.6,23.1,4.6,61.4,1.4,6.4,3.1,0.02,2.47,0.6,11182
Alabama,2.2,36.9,8.8,5.3,74.2,1.6,7,3.1,0.01,2.87,0.21,13474
Alabama,2.8,40.5,4.9,5.9,76.5,2,7.7,3.1,0.06,2.55,0.45,13870
Alabama,2.2,35.2,18.4,4.9,64.5,1.3,7.8,3.1,0.03,2.91,0.19,11604
Alabama,3.1,32.5,16.4,5,66,1.4,8.1,3.1,0.03,2.92,0.16,11957
Alabama,2.4,35.7,18.1,5,63.8,1.6,8.4,3.1,0.01,2.36,0.73,11695
Alabama,2.6,40,7,5.5,73.6,1.6,9.2,3.1,0.01,1.98,1.08,13401
Alabama,2.03,36.33,9.11,5.23,73.31,1.54,7.73,3.08,0.18,1.47,1.43,13371
